"Spanish","English"
"el profesor, la profesora","teacher"
"la clase","class (school)"
"el curso","course, class"
"las ciencias","sciences"
"la biología","biology"
"la química","chemistry"
"la física","physics"
"las matemáticas","mathematics"
"la aritmética","arithmetic"
"el álgebra","algebra"
"la geometría","geometry"
"el cálculo","calculus"
"las ciencias sociales","social sciences"
"la historia","history"
"la geografía","geography"
"las lenguas","languages"
"el idioma","the language"
"el inglés","English"
"el español","Spanish"
"el francés","French"
"el alemán","German"
"el latín","Latin"
"otras asignaturas o disciplinas","other subjects or disciplines"
"la educación física","physical education"
"la música","music"
"el arte","art"
"la economía doméstica","home economics"
"la informática","computer science"
"inteligente","intelligent"
"interesante","interesting"
"aburrido(a)","boring"
"pequeño(a)","small"
"grande","big"
"fácil","easy"
"difícil, duro(a)","difficult, hard"
"popular","popular"
"obligatorio(a)","required"
"argentino(a)","Argentinian"
"dominicano(a)","Dominican"
"ecuatoriano(a)","Ecuadorean"
"panameño(a)","Panamanian"
"¿quiénes?","who?"
"¿cuántos(as)?","how many?"
"también","also"
"no, de ninguna manera","no, by no means"
"hay","there is, there are"
"mucho","a lot, many"
"poco","little, few"
"mismo(a)","same"
"todos(as)","everybody, everything, all"
